Rodada;Hora;DataPartida;DiaSemana;Ano;Arena;TimeCasa;GolCasa;TimeVisitante;GolVisitante;FinalCasa;FinalVisitante
1;16h00;29/03/2003 ; sabado;2003;brinco de ouro;guarani ;4; vasco;2;v;d
1;16h00;29/03/2003 ; sabado;2003;arena da baixada;athleticoPr ;2; gremio;0;v;d
1;16h00;30/03/2003 ; domingo;2003;maracana;flamengo ;1; coritiba;1;e;e
1;16h00;30/03/2003 ; domingo;2003;serra dourada;goias ;2; paysandu;2;e;e
1;16h00;30/03/2003 ; domingo;2003;beira rio;internacional ;1; ponte preta;1;e;e
1;16h00;30/03/2003 ; domingo;2003;heriberto hulse;criciuma ;2; fluminense;0;v;d
1;16h00;30/03/2003 ; domingo;2003;alfredo jaconi;juventude ;2; sao paulo;2;e;e
1;16h00;30/03/2003 ; domingo;2003;castelao;fortaleza ;0; bahia;0;e;e
1;16h00;30/03/2003 ; domingo;2003;mineirao;cruzeiro ;2; sao caetano;2;e;e
1;16h00;30/03/2003 ; domingo;2003;barradao;vitoria ;1; figueirense;1;e;e
1;18h00;30/03/2003 ; domingo;2003;vila belmiro;santos ;2; parana;2;e;e
1;18h00;30/03/2003 ; domingo;2003;pacaembu;corinthians ;0; atleticoMg;3;d;v
2;16h00;05/04/2003 ; sabado;2003;maracana;fluminense ;1; fortaleza;1;e;e
2;16h00;05/04/2003 ; sabado;2003;mineirao;atleticoMg ;0; santos;0;e;e
2;16h00;05/04/2003 ; sabado;2003;couto pereira;coritiba ;0; internacional;1;d;v
2;18h00;05/04/2003 ; sabado;2003;olimpico;gremio ;3; guarani;1;v;d
2;16h00;06/04/2003 ; domingo;2003;fonte nova;bahia ;1;  flamengo;2;d;v
2;16h00;06/04/2003 ; domingo;2003;orlando scarpelli;figueirense ;3; corinthians;3;e;e
2;16h00;06/04/2003 ; domingo;2003;mangueirao;paysandu ;1; vitoria;2;d;v
2;16h00;06/04/2003 ; domingo;2003;moises lucarelli;ponte preta ;1; juventude;0;v;d
2;16h00;06/04/2003 ; domingo;2003;pinheirao;parana ;3; athleticoPr;0;v;d
2;16h00;06/04/2003 ; domingo;2003;anacleto campanella;sao caetano ;3; criciuma;2;v;d
2;18h00;06/04/2003 ; domingo;2003;morumbi;sao paulo ;2; cruzeiro;4;d;v
2;18h00;06/04/2003 ; domingo;2003;sao januario;vasco ;6; goias;4;v;d
3;16h00;12/04/2003 ; sabado;2003;beira rio;internacional ;2; bahia;0;v;d
3;16h00;12/04/2003 ; sabado;2003;vila belmiro;santos ;2; figueirense;0;v;d
3;16h00;12/04/2003 ; sabado;2003;arena da baixada;athleticoPr ;1; atleticoMg;2;d;v
3;18h00;12/04/2003 ; sabado;2003;pacaembu;corinthians ;6; paysandu;1;v;d
3;16h00;13/04/2003 ; domingo;2003;barradao;vitoria ;2; vasco;1;v;d
3;16h00;13/04/2003 ; domingo;2003;heriberto hulse;criciuma ;1; sao paulo;1;e;e
3;16h00;13/04/2003 ; domingo;2003;presidente vargas;fortaleza ;1; sao caetano;1;e;e
3;16h00;13/04/2003 ; domingo;2003;alfredo jaconi;juventude ;2; coritiba;1;v;d
3;16h00;13/04/2003 ; domingo;2003;brinco de ouro;guarani ;2; parana;0;v;d
3;16h00;13/04/2003 ; domingo;2003;serra dourada;goias ;1; gremio;1;e;e
3;18h00;13/04/2003 ; domingo;2003;mineirao;cruzeiro ;3; ponte preta;0;v;d
3;18h00;13/04/2003 ; domingo;2003;maracana;flamengo ;4; fluminense;1;v;d
4;21h40;09/04/2003 ; quarta;2003;mangueirao;paysandu ;2; santos;1;v;d
4;20h30;16/04/2003 ; quarta;2003;fonte nova;bahia ;3; juventude;1;v;d
4;20h30;16/04/2003 ; quarta;2003;olimpico;gremio ;2; vitoria;1;v;d
4;20h30;16/04/2003 ; quarta;2003;mineirao;atleticoMg ;3; guarani;2;v;d
4;20h30;16/04/2003 ; quarta;2003;orlando scarpelli;figueirense ;1; athleticoPr;1;e;e
4;20h30;16/04/2003 ; quarta;2003;;ponte preta ;1; criciuma;1;e;e
4;21h40;16/04/2003 ; quarta;2003;anacleto campanella;sao caetano ;1; flamengo;1;e;e
4;21h40;16/04/2003 ; quarta;2003;sao januario;vasco ;2; corinthians;2;e;e
4;21h40;16/04/2003 ; quarta;2003;couto pereira;coritiba ;3; cruzeiro;4;d;v
4;20h30;17/04/2003 ; quinta;2003;maracana;fluminense ;3; internacional;1;v;d
4;20h30;17/04/2003 ; quinta;2003;morumbi;sao paulo ;3; fortaleza;1;v;d
4;20h30;17/04/2003 ; quinta;2003;pinheirao;parana ;3; goias;1;v;d
5;16h00;19/04/2003 ; sabado;2003;;bahia ;2; atleticoMg;4;d;v
5;16h00;19/04/2003 ; sabado;2003;anacleto campanella;sao caetano ;1; gremio;1;e;e
5;18h00;19/04/2003 ; sabado;2003;maracana;flamengo ;0; santos;2;d;v
5;16h00;20/04/2003 ; domingo;2003;morumbi;sao paulo ;3; vasco;1;v;d
5;16h00;20/04/2003 ; domingo;2003;beira rio;internacional ;2; corinthians;1;v;d
5;16h00;20/04/2003 ; domingo;2003;heriberto hulse;criciuma ;1; guarani;0;v;d
5;16h00;20/04/2003 ; domingo;2003;alfredo jaconi;juventude ;1; vitoria;1;e;e
5;16h00;20/04/2003 ; domingo;2003;presidente vargas;fortaleza ;1; athleticoPr;0;v;d
5;16h00;20/04/2003 ; domingo;2003;moises lucarelli;ponte preta ;4; paysandu;4;e;e
5;18h00;20/04/2003 ; domingo;2003;mineirao;cruzeiro ;4; goias;1;v;d
5;18h00;20/04/2003 ; domingo;2003;maracana;fluminense ;0; parana;0;e;e
5;20h30;21/04/2003 ; segunda;2003;couto pereira;coritiba ;1; figueirense;0;v;d
6;16h00;26/04/2003 ; sabado;2003;mineirao;atleticoMg ;1; coritiba;2;d;v
6;16h00;26/04/2003 ; sabado;2003;pinheirao;parana ;3; bahia;1;v;d
6;16h00;26/04/2003 ; sabado;2003;barradao;vitoria ;0; internacional;3;d;v
6;18h00;26/04/2003 ; sabado;2003;brinco de ouro;guarani ;1; cruzeiro;1;e;e
6;16h00;27/04/2003 ; domingo;2003;pacaembu;corinthians ;1; flamengo;1;e;e
6;16h00;27/04/2003 ; domingo;2003;serra dourada;goias ;7; juventude;0;v;d
6;16h00;27/04/2003 ; domingo;2003;orlando scarpelli;figueirense ;0; ponte preta;0;e;e
6;16h00;27/04/2003 ; domingo;2003;vila belmiro;santos ;4; fortaleza;0;v;d
6;16h00;27/04/2003 ; domingo;2003;olimpico;gremio ;0; fluminense;1;d;v
6;16h00;27/04/2003 ; domingo;2003;arena da baixada;athleticoPr ;4; criciuma;2;v;d
6;18h00;27/04/2003 ; domingo;2003;mangueirao;paysandu ;5; sao paulo;2;v;d
6;18h00;27/04/2003 ; domingo;2003;sao januario;vasco ;1; sao caetano;0;v;d
7;16h00;03/05/2003 ; sabado;2003;maracana;flamengo ;2; vitoria;1;v;d
7;16h00;03/05/2003 ; sabado;2003;fonte nova;bahia ;2; gremio;1;v;d
7;18h00;03/05/2003 ; sabado;2003;mineirao;cruzeiro ;5; athleticoPr;2;v;d
7;16h00;04/05/2003 ; domingo;2003;castelao;fortaleza ;1; corinthians;2;d;v
7;16h00;04/05/2003 ; domingo;2003;morumbi;sao paulo ;3; figueirense;2;v;d
7;16h00;04/05/2003 ; domingo;2003;anacleto campanella;sao caetano ;2; paysandu;0;v;d
7;16h00;04/05/2003 ; domingo;2003;beira rio;internacional ;2; goias;1;v;d
7;16h00;04/05/2003 ; domingo;2003;moises lucarelli;ponte preta ;2; atleticoMg;1;v;d
7;16h00;04/05/2003 ; domingo;2003;alfredo jaconi;juventude ;1; guarani;1;e;e
7;16h00;04/05/2003 ; domingo;2003;couto pereira;coritiba ;2; parana;1;v;d
7;18h00;04/05/2003 ; domingo;2003;heriberto hulse;criciuma ;1; santos;3;d;v
7;18h00;04/05/2003 ; domingo;2003;maracana;fluminense ;0; vasco;0;e;e
8;16h00;10/05/2003 ; sabado;2003;serra dourada;goias ;1; flamengo;1;e;e
8;16h00;10/05/2003 ; sabado;2003;vila belmiro;santos ;0; cruzeiro;2;d;v
8;16h00;10/05/2003 ; sabado;2003;pinheirao;parana ;3; ponte preta;2;v;d
8;18h00;10/05/2003 ; sabado;2003;pacaembu;corinthians ;3; criciuma;0;v;d
8;16h00;11/05/2003 ; domingo;2003;sao januario;vasco ;1; bahia;1;e;e
8;16h00;11/05/2003 ; domingo;2003;mangueirao;paysandu ;2; fluminense;2;e;e
8;16h00;11/05/2003 ; domingo;2003;mineirao;atleticoMg ;2; sao paulo;2;e;e
8;16h00;11/05/2003 ; domingo;2003;barradao;vitoria ;2; fortaleza;1;v;d
8;16h00;11/05/2003 ; domingo;2003;brinco de ouro;guarani ;3; internacional;0;v;d
8;16h00;11/05/2003 ; domingo;2003;arena da baixada;athleticoPr ;2; juventude;0;v;d
8;16h00;11/05/2003 ; domingo;2003;orlando scarpelli;figueirense ;3; sao caetano;0;v;d
8;18h00;11/05/2003 ; domingo;2003;olimpico;gremio ;1; coritiba;0;v;d
9;16h00;17/05/2003 ; sabado;2003;maracana;fluminense ;3; figueirense;0;v;d
9;16h00;17/05/2003 ; sabado;2003;anacleto campanella;sao caetano ;2; atleticoMg;0;v;d
9;18h00;17/05/2003 ; sabado;2003;alfredo jaconi;juventude ;1; santos;1;e;e
9;16h00;18/05/2003 ; domingo;2003;fonte nova;bahia ;2; paysandu;0;v;d
9;16h00;18/05/2003 ; domingo;2003;beira rio;internacional ;1; athleticoPr;1;e;e
9;16h00;18/05/2003 ; domingo;2003;couto pereira;coritiba ;1; vasco;1;e;e
9;16h00;18/05/2003 ; domingo;2003;mineirao;cruzeiro ;1; corinthians;1;e;e
9;16h00;18/05/2003 ; domingo;2003;castelao;fortaleza ;1; goias;0;v;d
9;16h00;18/05/2003 ; domingo;2003;moises lucarelli;ponte preta ;2; gremio;1;v;d
9;16h00;18/05/2003 ; domingo;2003;heriberto hulse;criciuma ;1; vitoria;1;e;e
9;18h00;18/05/2003 ; domingo;2003;maracana;flamengo ;1; guarani;1;e;e
9;18h00;18/05/2003 ; domingo;2003;morumbi;sao paulo ;2; parana;0;v;d
10;16h00;24/05/2003 ; sabado;2003;independencia;atleticoMg ;3; fluminense;0;v;d
10;16h00;24/05/2003 ; sabado;2003;pinheirao;parana ;1; sao caetano;1;e;e
10;16h00;24/05/2003 ; sabado;2003;pacaembu;corinthians ;3; juventude;0;v;d
10;18h00;24/05/2003 ; sabado;2003;sao januario;vasco ;1; ponte preta;0;v;d
10;16h00;25/05/2003 ; domingo;2003;arena da baixada;athleticoPr ;4; flamengo;1;v;d
10;16h00;25/05/2003 ; domingo;2003;mangueirao;paysandu ;1; coritiba;3;d;v
10;16h00;25/05/2003 ; domingo;2003;serra dourada;goias ;0; criciuma;2;d;v
10;16h00;25/05/2003 ; domingo;2003;olimpico;gremio ;1; sao paulo;2;d;v
10;16h00;25/05/2003 ; domingo;2003;brinco de ouro;guarani ;2; fortaleza;1;v;d
10;16h00;25/05/2003 ; domingo;2003;orlando scarpelli;figueirense ;1; bahia;0;v;d
10;18h00;25/05/2003 ; domingo;2003;barradao;vitoria ;2; cruzeiro;1;v;d
10;18h00;25/05/2003 ; domingo;2003;vila belmiro;santos ;2; internacional;1;v;d
11;16h00;31/05/2003 ; sabado;2003;edson passos;fluminense ;2; athleticoPr;1;v;d
11;16h00;31/05/2003 ; sabado;2003;mineirao;cruzeiro ;2; criciuma;0;v;d
11;16h00;31/05/2003 ; sabado;2003;couto pereira;coritiba ;3; guarani;2;v;d
11;16h00;31/05/2003 ; sabado;2003;moises lucarelli;ponte preta ;0; sao caetano;0;e;e
11;18h00;31/05/2003 ; sabado;2003;beira rio;internacional ;2; paysandu;1;v;d
11;16h00;01/06/2003 ; domingo;2003;pinheirao;parana ;6; flamengo;2;v;d
11;16h00;01/06/2003 ; domingo;2003;fonte nova;bahia ;2; goias;1;v;d
11;16h00;01/06/2003 ; domingo;2003;castelao;fortaleza ;3; juventude;1;v;d
11;16h00;01/06/2003 ; domingo;2003;orlando scarpelli;figueirense ;2; gremio;1;v;d
11;16h00;01/06/2003 ; domingo;2003;vila belmiro;santos ;3; sao paulo;2;v;d
11;18h00;01/06/2003 ; domingo;2003;pacaembu;corinthians ;4; vitoria;0;v;d
11;18h00;01/06/2003 ; domingo;2003;sao januario;vasco ;2; atleticoMg;2;e;e
12;16h00;07/06/2003 ; sabado;2003;barradao;vitoria ;2; fluminense;1;v;d
12;16h00;07/06/2003 ; sabado;2003;brinco de ouro;guarani ;1; santos;2;d;v
12;16h00;07/06/2003 ; sabado;2003;olimpico;gremio ;3; fortaleza ;1;v;d
12;18h00;07/06/2003 ; sabado;2003;independencia;atleticoMg ;1; figueirense;1;e;e
12;16h00;08/06/2003 ; domingo;2003;mangueirao;paysandu ;3; parana;0;v;d
12;16h00;08/06/2003 ; domingo;2003;alfredo jaconi;juventude ;0; vasco;0;e;e
12;16h00;08/06/2003 ; domingo;2003;arena da baixada;athleticoPr ;4; ponte preta;2;v;d
12;16h00;08/06/2003 ; domingo;2003;serra dourada;goias ;1; coritiba;2;d;v
12;16h00;08/06/2003 ; domingo;2003;anacleto campanella;sao caetano ;1; corinthians;0;v;d
12;18h00;08/06/2003 ; domingo;2003;heriberto hulse;criciuma ;1; internacional;0;v;d
12;18h00;08/06/2003 ; domingo;2003;morumbi;sao paulo ;2; bahia;2;e;e
12;20h30;18/04/2003 ; quarta;2003;maracana;flamengo ;3; cruzeiro;0;v;d
13;16h00;14/06/2003 ; sabado;2003;maracana;fluminense ;2; goias;3;d;v
13;16h00;14/06/2003 ; sabado;2003;moises lucarelli;ponte preta ;0; guarani;2;d;v
13;18h00;14/06/2003 ; sabado;2003;couto pereira;coritiba ;2; athleticoPr ;0;v;d
13;16h00;15/06/2003 ; domingo;2003;morumbi;corinthians ;1; sao paulo;2;d;v
13;16h00;15/06/2003 ; domingo;2003;presidente vargas;fortaleza ;1; paysandu;2;d;v
13;16h00;15/06/2003 ; domingo;2003;pinheirao;parana ;1; juventude;2;d;v
13;16h00;15/06/2003 ; domingo;2003;olimpico;gremio ;0; internacional;0;e;e
13;16h00;15/06/2003 ; domingo;2003;vila belmiro;santos ;0; sao caetano;1;d;v
13;16h00;15/06/2003 ; domingo;2003;heriberto hulse;criciuma ;1; figueirense;0;v;d
13;16h00;15/06/2003 ; domingo;2003;fonte nova;bahia ;2; vitoria;1;v;d
13;18h00;15/06/2003 ; domingo;2003;maracana;vasco ;1; flamengo;2;d;v
13;18h00;15/06/2003 ; domingo;2003;mineirao;cruzeiro ;0; atleticoMg;0;e;e
14;16h00;19/06/2003 ; quinta;2003;fonte nova;bahia ;2; coritiba;2;e;e
14;16h00;21/06/2003 ; sabado;2003;sao januario;vasco ;2; criciuma;0;v;d
14;16h00;21/06/2003 ; sabado;2003;mineirao;atleticoMg ;3; gremio;2;v;d
14;16h00;21/06/2003 ; sabado;2003;beira rio;internacional ;2; parana;1;v;d
14;18h00;21/06/2003 ; sabado;2003;morumbi;sao paulo ;1; goias ;0;v;d
14;16h00;22/06/2003 ; domingo;2003;mangueirao;paysandu ;2; flamengo;2;e;e
14;16h00;22/06/2003 ; domingo;2003;moises lucarelli;ponte preta ;3; corinthians;3;e;e
14;16h00;22/06/2003 ; domingo;2003;anacleto campanella;sao caetano ;2; vitoria;1;v;d
14;16h00;22/06/2003 ; domingo;2003;orlando scarpelli;figueirense ;2; fortaleza;2;e;e
14;18h00;22/06/2003 ; domingo;2003;alfredo jaconi;juventude ;0; cruzeiro;1;d;v
14;18h00;22/06/2003 ; domingo;2003;maracana;fluminense ;5; guarani;2;v;d
14;20h30;30/07/2003 ; quarta;2003;arena da baixada;athleticoPr ;0; santos;2;d;v
15;16h00;28/06/2003 ; sabado;2003;castelao;fortaleza ;0; vasco;1;d;v
15;16h00;28/06/2003 ; sabado;2003;couto pereira;coritiba ;2; sao caetano;0;v;d
15;16h00;28/06/2003 ; sabado;2003;olimpico;gremio ;1; juventude;4;d;v
15;16h00;28/06/2003 ; sabado;2003;vila belmiro;santos ;4; bahia ;0;v;d
15;18h00;28/06/2003 ; sabado;2003;maracana;flamengo ;0; figueirense;2;d;v
15;16h00;29/06/2003 ; domingo;2003;pacaembu;corinthians ;1; fluminense;0;v;d
15;16h00;29/06/2003 ; domingo;2003;brinco de ouro;guarani ;0; sao paulo;1;d;v
15;16h00;29/06/2003 ; domingo;2003;heriberto hulse;criciuma ;2; paysandu;0;v;d
15;16h00;29/06/2003 ; domingo;2003;barradao;vitoria ;1; athleticoPr;0;v;d
15;18h00;29/06/2003 ; domingo;2003;mineirao;cruzeiro ;3; internacional;2;v;d
15;18h00;29/06/2003 ; domingo;2003;pinheirao;parana ;1; atleticoMg;1;e;e
15;20h30;30/07/2003 ; quarta;2003;serra dourada;goias ;0; ponte preta;0;e;e
16;16h00;05/07/2003 ; sabado;2003;sao januario;vasco ;1; parana;4;d;v
16;16h00;05/07/2003 ; sabado;2003;morumbi;sao paulo ;1; sao caetano;1;e;e
16;16h00;05/07/2003 ; sabado;2003;orlando scarpelli;figueirense ;1; cruzeiro;0;v;d
16;16h00;05/07/2003 ; sabado;2003;independencia;atleticoMg ;3; paysandu;2;v;d
16;16h00;06/07/2003 ; domingo;2003;olimpico;gremio ;2; flamengo;0;v;d
16;16h00;06/07/2003 ; domingo;2003;brinco de ouro;guarani ;3; goias;2;v;d
16;16h00;06/07/2003 ; domingo;2003;arena da baixada;athleticoPr ;3; corinthians;1;v;d
16;16h00;06/07/2003 ; domingo;2003;alfredo jaconi;juventude ;1; internacional ;1;e;e
16;16h00;06/07/2003 ; domingo;2003;presidente vargas;fortaleza ;0; criciuma;1;d;v
16;16h00;06/07/2003 ; domingo;2003;barradao;vitoria ;1; ponte preta;4;d;v
16;18h00;06/07/2003 ; domingo;2003;vila belmiro;santos ;3; coritiba;1;v;d
16;18h00;06/07/2003 ; domingo;2003;maracana;fluminense ;1; bahia;0;v;d
17;16h00;09/07/2003 ; quarta;2003;anacleto campanella;sao caetano ;0; athleticoPr;0;e;e
17;16h00;09/07/2003 ; quarta;2003;morumbi;corinthians ;1; santos;1;e;e
17;20h30;09/07/2003 ; quarta;2003;mineirao;cruzeiro ;2; fortaleza;0;v;d
17;20h30;09/07/2003 ; quarta;2003;fonte nova;bahia ;2; guarani;0;v;d
17;20h30;09/07/2003 ; quarta;2003;mangueirao;paysandu ;1; figueirense;0;v;d
17;20h30;09/07/2003 ; quarta;2003;serra dourada;goias ;1; vitoria;1;e;e
17;20h30;09/07/2003 ; quarta;2003;maracana;flamengo ;2; juventude ;1;v;d
17;21h40;09/07/2003 ; quarta;2003;beira rio;internacional ;2; vasco;1;v;d
17;21h40;09/07/2003 ; quarta;2003;couto pereira;coritiba ;0; sao paulo;2;d;v
17;20h30;10/07/2003 ; quinta;2003;moises lucarelli;ponte preta ;3; fluminense;0;v;d
17;20h30;10/07/2003 ; quinta;2003;heriberto hulse;criciuma ;1; atleticoMg;0;v;d
17;20h30;10/07/2003 ; quinta;2003;pinheirao;parana ;3; gremio;1;v;d
18;16h00;12/07/2003 ; sabado;2003;arena da baixada;athleticoPr ;0; goias;0;e;e
18;16h00;12/07/2003 ; sabado;2003;castelao;fortaleza ;3; internacional;0;v;d
18;18h00;12/07/2003 ; sabado;2003;sao januario;vasco ;0; paysandu;2;d;v
18;16h00;13/07/2003 ; domingo;2003;mineirao;atleticoMg ;1; flamengo;0;v;d
18;16h00;13/07/2003 ; domingo;2003;moises lucarelli;ponte preta ;1; bahia;0;v;d
18;16h00;13/07/2003 ; domingo;2003;morumbi;corinthians ;0; coritiba;1;d;v
18;16h00;13/07/2003 ; domingo;2003;heriberto hulse;criciuma ;3; juventude;0;v;d
18;16h00;13/07/2003 ; domingo;2003;orlando scarpelli;figueirense ;4; parana ;2;v;d
18;16h00;13/07/2003 ; domingo;2003;anacleto campanella;sao caetano ;0; guarani;2;d;v
18;16h00;13/07/2003 ; domingo;2003;maracana;fluminense ;1; sao paulo;3;d;v
18;18h00;13/07/2003 ; domingo;2003;olimpico;gremio ;0; cruzeiro;1;d;v
18;18h00;13/07/2003 ; domingo;2003;barradao;vitoria ;2; santos;0;v;d
19;20h30;16/07/2003 ; quarta;2003;maracana;flamengo ;0; fortaleza;2;d;v
19;20h30;16/07/2003 ; quarta;2003;alfredo jaconi;juventude ;1; figueirense ;2;d;v
19;20h30;16/07/2003 ; quarta;2003;fonte nova;bahia ;0; sao caetano;0;e;e
19;20h30;16/07/2003 ; quarta;2003;couto pereira;coritiba ;3; fluminense;0;v;d
19;20h30;16/07/2003 ; quarta;2003;brinco de ouro;guarani ;2; vitoria;2;e;e
19;20h30;16/07/2003 ; quarta;2003;beira rio;internacional ;3; atleticoMg;3;e;e
19;21h40;16/07/2003 ; quarta;2003;vila belmiro;santos ;2; ponte preta;1;v;d
19;21h40;16/07/2003 ; quarta;2003;mineirao;cruzeiro ;4; vasco;1;v;d
19;21h40;16/07/2003 ; quarta;2003;serra dourada;goias ;1; corinthians;1;e;e
19;20h30;17/07/2003 ; quinta;2003;mangueirao;paysandu ;1; gremio;1;e;e
19;20h30;17/07/2003 ; quinta;2003;morumbi;sao paulo ;2; athleticoPr;0;v;d
19;20h30;31/07/2003 ; quinta;2003;pinheirao;parana ;2; criciuma;1;v;d
20;16h00;19/07/2003 ; sabado;2003;giulite coutinho;fluminense ;1; santos;4;d;v
20;16h00;19/07/2003 ; sabado;2003;pacaembu;corinthians ;1; guarani;0;v;d
20;16h00;19/07/2003 ; sabado;2003;castelao;fortaleza ;4; atleticoMg;3;v;d
20;18h00;19/07/2003 ; sabado;2003;beira rio;internacional ;3; figueirense;0;v;d
20;16h00;20/07/2003 ; domingo;2003;alfredo jaconi;juventude ;2; paysandu;0;v;d
20;16h00;20/07/2003 ; domingo;2003;arena da baixada;athleticoPr ;2; bahia;1;v;d
20;16h00;20/07/2003 ; domingo;2003;moises lucarelli;ponte preta ;1; coritiba;1;e;e
20;16h00;20/07/2003 ; domingo;2003;heriberto hulse;criciuma ;4; flamengo ;3;v;d
20;16h00;20/07/2003 ; domingo;2003;serra dourada;goias ;2; sao caetano;1;v;d
20;16h00;20/07/2003 ; domingo;2003;barradao;vitoria ;0; sao paulo;2;d;v
20;18h00;20/07/2003 ; domingo;2003;mineirao;cruzeiro ;5; parana;1;v;d
20;18h00;20/07/2003 ; domingo;2003;sao januario;vasco ;2; gremio;0;v;d
21;20h30;23/07/2003 ; quarta;2003;pinheirao;parana ;4; fortaleza;1;v;d
21;20h30;23/07/2003 ; quarta;2003;mineirao;atleticoMg ;2; juventude;1;v;d
21;20h30;23/07/2003 ; quarta;2003;mangueirao;paysandu ;3; cruzeiro ;0;v;d
21;20h30;23/07/2003 ; quarta;2003;brinco de ouro;guarani ;1; athleticoPr;0;v;d
21;21h40;23/07/2003 ; quarta;2003;orlando scarpelli;figueirense ;0; vasco;0;e;e
21;21h40;23/07/2003 ; quarta;2003;vila belmiro;santos ;3; goias;3;e;e
21;21h40;23/07/2003 ; quarta;2003;fonte nova;bahia ;0; corinthians;0;e;e
21;20h30;24/07/2003 ; quinta;2003;couto pereira;coritiba ;1; vitoria;1;e;e
21;20h30;24/07/2003 ; quinta;2003;olimpico;gremio ;0; criciuma;2;d;v
21;20h30;24/07/2003 ; quinta;2003;maracana;flamengo ;2; internacional;1;v;d
21;20h30;24/07/2003 ; quinta;2003;anacleto campanella;sao caetano ;2; fluminense;0;v;d
21;20h30;24/07/2003 ; quinta;2003;morumbi;sao paulo ;1; ponte preta;2;d;v
22;16h00;26/07/2003 ; sabado;2003;vila belmiro;santos ;2; vasco;1;v;d
22;16h00;26/07/2003 ; sabado;2003;serra dourada;goias ;1; atleticoMg;1;e;e
22;16h00;26/07/2003 ; sabado;2003;arena da baixada;athleticoPr ;1; paysandu;1;e;e
22;09h00;27/07/2003 ; domingo;2003;castelao;fortaleza ;2; ponte preta;3;d;v
22;16h00;27/07/2003 ; domingo;2003;alfredo jaconi;juventude ;2; fluminense;1;v;d
22;16h00;27/07/2003 ; domingo;2003;maracana;flamengo ;1; sao paulo;1;e;e
22;16h00;27/07/2003 ; domingo;2003;heriberto hulse;criciuma ;2; coritiba ;3;d;v
22;16h00;27/07/2003 ; domingo;2003;brinco de ouro;guarani ;3; figueirense;0;v;d
22;16h00;27/07/2003 ; domingo;2003;barradao;vitoria ;0; parana;3;d;v
22;16h00;27/07/2003 ; domingo;2003;;corinthians ;1; gremio;0;v;d
22;18h00;27/07/2003 ; domingo;2003;mineirao;cruzeiro ;5; bahia;2;v;d
22;18h00;27/07/2003 ; domingo;2003;beira rio;internacional ;0; sao caetano;0;e;e
23;16h00;02/08/2003 ; sabado;2003;giulite coutinho;fluminense ;2; cruzeiro;2;e;e
23;16h00;02/08/2003 ; sabado;2003;olimpico;gremio ;2; santos;0;v;d
23;18h00;02/08/2003 ; sabado;2003;morumbi;sao paulo ;0; internacional;2;d;v
23;18h00;02/08/2003 ; sabado;2003;anacleto campanella;sao caetano ;1; juventude;1;e;e
23;16h00;03/08/2003 ; domingo;2003;orlando scarpelli;figueirense ;0; goias;1;d;v
23;16h00;03/08/2003 ; domingo;2003;arena da baixada;parana ;1; corinthians;1;e;e
23;16h00;03/08/2003 ; domingo;2003;mangueirao;paysandu ;6; guarani;1;v;d
23;16h00;03/08/2003 ; domingo;2003;couto pereira;coritiba ;1; fortaleza ;1;e;e
23;16h00;03/08/2003 ; domingo;2003;fonte nova;bahia ;2; criciuma;2;e;e
23;16h00;03/08/2003 ; domingo;2003;moises lucarelli;ponte preta ;1; flamengo;1;e;e
23;18h00;03/08/2003 ; domingo;2003;sao januario;vasco ;2; athleticoPr;1;v;d
23;18h00;03/08/2003 ; domingo;2003;mineirao;atleticoMg ;1; vitoria;0;v;d
24;20h30;06/08/2003 ; quarta;2003;barradao;vitoria ;1; paysandu;1;e;e
24;20h30;06/08/2003 ; quarta;2003;arena da baixada;athleticoPr ;1; parana;0;v;d
24;20h30;06/08/2003 ; quarta;2003;heriberto hulse;criciuma ;0; sao caetano;1;d;v
24;20h30;06/08/2003 ; quarta;2003;castelao;fortaleza ;3; fluminense;1;v;d
24;20h30;06/08/2003 ; quarta;2003;alfredo jaconi;juventude ;0; ponte preta;0;e;e
24;21h40;06/08/2003 ; quarta;2003;vila belmiro;santos ;3; atleticoMg;3;e;e
24;21h40;06/08/2003 ; quarta;2003;serra dourada;goias ;3; vasco;1;v;d
24;21h40;06/08/2003 ; quarta;2003;mineirao;cruzeiro ;1; sao paulo;1;e;e
24;20h30;07/08/2003 ; quinta;2003;maracana;flamengo ;6; bahia;0;v;d
24;20h30;07/08/2003 ; quinta;2003;pacaembu;corinthians ;0; figueirense;1;d;v
24;20h30;07/08/2003 ; quinta;2003;brinco de ouro;guarani ;2; gremio;0;v;d
24;15h00;07/08/2003 ; quinta;2003;beira rio;internacional ;1; coritiba;0;v;d
25;16h00;09/08/2003 ; sabado;2003;maracana;fluminense ;1; criciuma;1;e;e
25;16h00;09/08/2003 ; sabado;2003;anacleto campanella;sao caetano ;2; cruzeiro;0;v;d
25;16h00;09/08/2003 ; sabado;2003;couto pereira;parana ;1; santos;2;d;v
25;18h00;09/08/2003 ; sabado;2003;morumbi;sao paulo ;3; juventude;1;v;d
25;16h00;10/08/2003 ; domingo;2003;mangueirao;paysandu ;2; goias;2;e;e
25;16h00;10/08/2003 ; domingo;2003;moises lucarelli;ponte preta ;1; internacional;4;d;v
25;16h00;10/08/2003 ; domingo;2003;couto pereira;coritiba ;5; flamengo;0;v;d
25;16h00;10/08/2003 ; domingo;2003;mineirao;atleticoMg ;2; corinthians;3;d;v
